Name,Weight,Height,Age,Gender
Alice Carter,68,165,28,Female
Benjamin Lee,75,178,32,Male
Clara Jones,54,160,24,Female
Daniel Smith,82,182,35,Male
Ella Brown,60,158,29,Female
Frank Wilson,90,185,40,Male
Grace Taylor,59,162,27,Female
Henry Davis,85,180,38,Male
Isla Thomas,65,170,31,Female
Jack White,78,176,33,Male
Kara Hall,61,164,30,Female
Liam Martin,80,181,36,Male
Mia Thompson,58,159,25,Female
Noah Garcia,74,174,29,Male
Olivia Martinez,63,167,28,Female
Paul Robinson,88,186,41,Male
Quinn Clark,69,171,32,Female
Ryan Rodriguez,92,188,39,Male
Sophia Lewis,57,160,26,Female
Thomas Lee,77,177,34,Male
Uma Walker,66,168,30,Female
Victor Young,83,183,37,Male
Wendy Scott,64,169,33,Female
Xander Allen,79,179,35,Male
Yara King,55,161,27,Female
Zane Wright,86,184,38,Male
Abigail Green,60,163,28,Female
Blake Adams,81,182,36,Male
Chloe Nelson,62,165,29,Female
Dylan Baker,89,187,40,Male
Eva Hill,56,158,25,Female
Finn Mitchell,76,175,33,Male
Gina Perez,67,166,30,Female
Harvey Roberts,84,180,37,Male
Ivy Turner,59,162,26,Female
Jake Phillips,87,185,39,Male
Katie Campbell,64,168,31,Female
Leo Parker,73,173,34,Male
Molly Evans,61,164,28,Female
Nathan Edwards,90,189,41,Male
